attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
"40,030']",New York Mets,1,7,3,https://www.baseball-reference.com/boxes/KCA/KCA201604030.shtml,"Sunday, April 3, 2016",,: 3:13,"Night Game, on grass",Kansas City Royals,0,9,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Gerry Davis, 1B - Sam Holbrook, 2B - Rob Drake, 3B - Carlos Torres.</div><div><strong>Time of Game:</strong> 3:13.</div>
<div><strong>Attendance:</strong> 40,030.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 74&deg; F, Wind 14mph from Right to Left, Sunny.</div>

    </div>

-->",Start Time: 7:38 p.m. Local,: Kauffman Stadium
"21,621']",Philadelphia Phillies,0,5,2,https://www.baseball-reference.com/boxes/CIN/CIN201604060.shtml,"Wednesday, April 6, 2016",,: 2:23,"Night Game, on grass",Cincinnati Reds,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tony Randazzo, 1B - Brian Knight, 2B - Todd Tichenor, 3B - Bill Miller.</div><div><strong>Time of Game:</strong> 2:23.</div>
<div><strong>Attendance:</strong> 21,621.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 55&deg; F, Wind 24mph from Right to Left, Overcast.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Great American Ball Park
"12,622']",Minnesota Twins,0,5,2,https://www.baseball-reference.com/boxes/BAL/BAL201604060.shtml,"Wednesday, April 6, 2016",,: 3:11,"Night Game, on grass",Baltimore Orioles,0,9,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mark Wegner, 1B - Marty Foster, 2B - Mike Muchlinski, 3B - Mike Winters.</div><div><strong>Time of Game:</strong> 3:11.</div>
<div><strong>Attendance:</strong> 12,622.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 48&deg; F, Wind 7mph out to Leftfield.</div>

    </div>

-->",Start Time: 7:07 p.m. Local,: Oriole Park at Camden Yards
"18,531']",Washington Nationals,0,8,3,https://www.baseball-reference.com/boxes/ATL/ATL201604060.shtml,"Wednesday, April 6, 2016",,: 2:53,"Night Game, on grass",Atlanta Braves,1,8,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ron Kulpa, 1B - Paul Nauert, 2B - Chris Conroy, 3B - Jerry Meals.</div><div><strong>Time of Game:</strong> 2:53.</div>
<div><strong>Attendance:</strong> 18,531.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 65&deg; F, Wind 10mph from Right to Left, Cloudy.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Turner Field
"18,572']",Colorado Rockies,1,8,4,https://www.baseball-reference.com/boxes/ARI/ARI201604060.shtml,"Wednesday, April 6, 2016",,: 2:39,"Day Game, on grass",Arizona Diamondbacks,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Alan Porter, 1B - John Tumpane, 2B - Jeff Kellogg, 3B - Brian O'Nora.</div><div><strong>Time of Game:</strong> 2:39.</div>
<div><strong>Attendance:</strong> 18,572.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 12:40 p.m. Local,: Chase Field
"28,386']",Seattle Mariners,1,11,10,https://www.baseball-reference.com/boxes/TEX/TEX201604050.shtml,"Tuesday, April 5, 2016",,: 3:30,"Night Game, on grass",Texas Rangers,1,7,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Marvin Hudson, 1B - James Hoye, 2B - Chad Fairchild, 3B - Jim Joyce.</div><div><strong>Time of Game:</strong> 3:30.</div>
<div><strong>Attendance:</strong> 28,386.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 81&deg; F, Wind 12mph from Right to Left, Cloudy.</div>

    </div>

-->",Start Time: 7:07 p.m. Local,: Globe Life Park in Arlington
"12,757']",Toronto Blue Jays,0,9,2,https://www.baseball-reference.com/boxes/TBA/TBA201604050.shtml,"Tuesday, April 5, 2016",,: 3:07,"Night Game, on turf",Tampa Bay Rays,1,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tim Timmons, 1B - Laz Diaz, 2B - Mike Everitt, 3B - Paul Emmel.</div><div><strong>Time of Game:</strong> 3:07.</div>
<div><strong>Attendance:</strong> 12,757.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Tropicana Field
"28,329']",Los Angeles Dodgers,0,6,3,https://www.baseball-reference.com/boxes/SDN/SDN201604050.shtml,"Tuesday, April 5, 2016",,: 2:36,"Night Game, on grass",San Diego Padres,1,2,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Eric Cooper, 1B - Jim Wolf, 2B - Adrian Johnson, 3B - Gary Cederstrom.</div><div><strong>Time of Game:</strong> 2:36.</div>
<div><strong>Attendance:</strong> 28,329.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 70&deg; F, Wind 6mph from Left to Right.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Petco Park
"26,049']",St. Louis Cardinals,1,8,5,https://www.baseball-reference.com/boxes/PIT/PIT201604050.shtml,"Tuesday, April 5, 2016",,: 3:27,"Night Game, on grass",Pittsburgh Pirates,2,12,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Hunter Wendelstedt, 1B - Tripp Gibson, 2B - Clint Fagan, 3B - Jerry Layne.</div><div><strong>Time of Game:</strong> 3:27.</div>
<div><strong>Attendance:</strong> 26,049.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 40&deg; F, Wind 7mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: PNC Park
"10,478']",Chicago White Sox,0,11,5,https://www.baseball-reference.com/boxes/OAK/OAK201604050.shtml,"Tuesday, April 5, 2016",,: 3:28,"Night Game, on grass",Oakland Athletics,0,10,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Phil Cuzzi, 1B - Dan Bellino, 2B - Gabe Morales, 3B - Tom Hallion.</div><div><strong>Time of Game:</strong> 3:28.</div>
<div><strong>Attendance:</strong> 10,478.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 70&deg; F, Wind 8mph out to Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: Oakland-Alameda County Coliseum
